GarageCars,GarageArea,GarageQual,GarageCond,PavedDrive,MoSold,YrSold,SaleType,SaleCondition,SalePrice
2,548,TA,TA,Y,2,2008,WD,Normal,208500
2,460,TA,TA,Y,5,2007,WD,Normal,181500
2,608,TA,TA,Y,9,2008,WD,Normal,223500
3,642,TA,TA,Y,2,2006,WD,Abnorml,140000
3,836,TA,TA,Y,12,2008,WD,Normal,250000
2,480,TA,TA,Y,10,2009,WD,Normal,143000
2,636,TA,TA,Y,8,2007,WD,Normal,307000
2,484,TA,TA,Y,11,2009,WD,Normal,200000
2,468,Fa,TA,Y,4,2008,WD,Abnorml,129900
1,205,Gd,TA,Y,1,2008,WD,Normal,118000
1,384,TA,TA,Y,2,2008,WD,Normal,129500
3,736,TA,TA,Y,7,2006,New,Partial,345000
1,352,TA,TA,Y,9,2008,WD,Normal,144000
3,840,TA,TA,Y,8,2007,New,Partial,279500
1,352,TA,TA,Y,5,2008,WD,Normal,157000
2,576,TA,TA,Y,7,2007,WD,Normal,132000
2,480,TA,TA,Y,3,2010,WD,Normal,149000
2,576,TA,TA,Y,6,2008,WD,Normal,159000
1,294,TA,TA,Y,5,2009,COD,Abnorml,139000
3,853,TA,TA,Y,11,2006,New,Partial,325300
1,280,TA,TA,N,6,2007,WD,Normal,139400
2,534,TA,TA,Y,9,2008,WD,Normal,230000
2,572,TA,TA,Y,6,2007,WD,Normal,129900
1,270,TA,TA,Y,5,2010,WD,Normal,154000
3,890,TA,TA,Y,7,2009,WD,Normal,256300
2,576,TA,TA,Y,5,2010,WD,Normal,134800
3,772,TA,TA,Y,5,2010,WD,Normal,306000
1,319,TA,TA,Y,12,2006,WD,Normal,207500
1,240,Fa,TA,Y,5,2008,WD,Normal,68500
1,250,TA,Fa,N,7,2008,WD,Normal,40000
1,271,TA,TA,Y,6,2008,WD,Normal,149350
2,484,TA,TA,Y,1,2008,WD,Normal,179900
2,447,TA,TA,Y,4,2010,WD,Normal,165500
2,556,TA,TA,Y,8,2007,WD,Normal,277500
3,691,TA,TA,Y,9,2006,WD,Normal,309000
2,672,TA,TA,Y,6,2009,WD,Normal,145000
2,498,TA,TA,Y,10,2009,WD,Normal,153000
1,246,TA,TA,Y,1,2010,WD,Abnorml,109000
2,440,TA,TA,Y,12,2006,WD,Abnorml,160000
1,308,TA,TA,P,7,2007,WD,Normal,170000
2,504,TA,Gd,Y,12,2007,WD,Normal,144000
1,308,TA,TA,Y,7,2008,WD,Normal,130250
1,300,TA,TA,Y,5,2006,WD,Normal,141000
2,576,TA,TA,Y,2,2010,WD,Normal,319900
2,670,TA,TA,Y,8,2009,WD,Abnorml,239686
3,826,TA,TA,Y,7,2007,WD,Normal,249700
1,386,TA,TA,Y,1,2007,WD,Normal,127000
2,388,TA,TA,Y,7,2007,WD,Normal,177000
2,528,TA,TA,Y,9,2006,WD,Normal,114500
2,516,TA,TA,Y,5,2010,WD,Normal,110000
3,894,TA,TA,Y,11,2006,WD,Normal,385000
2,572,TA,TA,Y,2,2007,WD,Normal,130000
2,576,TA,TA,Y,7,2008,WD,Normal,180500
2,480,TA,TA,Y,8,2009,WD,Abnorml,172500
2,565,TA,TA,Y,8,2006,WD,Normal,196500
3,641,TA,TA,Y,10,2006,New,Partial,438780
1,352,TA,TA,Y,1,2008,WD,Normal,124900
2,576,TA,TA,Y,5,2006,New,Partial,158000
1,288,TA,TA,N,3,2007,WD,Normal,101000
2,484,TA,TA,Y,10,2007,WD,Normal,202500
2,480,TA,TA,Y,4,2010,WD,Normal,140000
2,645,TA,TA,Y,2,2009,WD,Normal,219500
3,852,TA,TA,Y,10,2007,WD,Normal,317000
2,576,TA,TA,Y,7,2010,WD,Normal,180000
2,558,TA,TA,Y,6,2007,WD,Normal,226000
1,220,TA,TA,Y,6,2010,WD,Normal,80000
2,667,TA,TA,Y,7,2006,WD,Normal,225000
2,516,TA,TA,Y,2,2007,WD,Normal,244000
2,360,TA,TA,Y,6,2007,WD,Normal,129500
2,427,TA,TA,Y,12,2009,WD,Normal,185000
2,490,TA,TA,Y,5,2010,WD,Normal,144900
1,379,TA,TA,Y,5,2010,WD,Normal,107400
1,297,TA,TA,Y,11,2009,WD,Normal,91000
1,283,TA,TA,Y,4,2008,WD,Normal,135750
1,240,TA,TA,Y,1,2008,WD,Normal,127000
2,440,TA,TA,Y,5,2009,WD,Normal,110000
1,509,TA,TA,Y,6,2009,WD,Normal,193500
2,405,TA,TA,Y,3,2006,WD,Normal,153500
3,758,TA,TA,Y,10,2008,WD,Normal,245000
2,461,TA,TA,Y,7,2007,COD,Normal,126500
2,400,TA,TA,Y,5,2009,WD,Normal,168500
2,462,TA,TA,Y,4,2006,WD,Normal,260000
2,400,TA,TA,Y,3,2009,WD,Normal,174000
2,528,TA,TA,Y,6,2009,New,Partial,164500
2,480,TA,TA,Y,12,2006,WD,Abnorml,98600
2,432,TA,TA,Y,8,2009,WD,Normal,163500
2,506,TA,TA,Y,11,2007,WD,Normal,133900
2,684,TA,TA,Y,5,2007,WD,Normal,204750
2,420,TA,TA,Y,4,2009,WD,Normal,185000
2,472,TA,TA,Y,8,2006,WD,Normal,214000
1,432,TA,TA,P,5,2007,WD,Normal,94750
1,366,Fa,TA,Y,5,2010,COD,Abnorml,83000
2,480,TA,TA,Y,2,2010,WD,Normal,205000
2,476,TA,TA,Y,6,2010,WD,Normal,178000
3,740,TA,TA,Y,5,2010,WD,Normal,198900
1,240,TA,TA,Y,6,2007,WD,Normal,169500
2,648,TA,TA,Y,8,2008,WD,Normal,250000
1,273,Fa,Fa,N,8,2007,WD,Normal,100000
1,250,TA,TA,Y,4,2008,WD,Partial,115000
2,546,TA,TA,Y,1,2010,COD,Normal,190000
1,325,TA,TA,Y,10,2006,WD,Normal,136900
2,400,TA,TA,Y,4,2010,WD,Normal,180000
3,792,TA,TA,Y,10,2007,New,Partial,383970
2,450,TA,TA,Y,10,2007,COD,Abnorml,217000
1,180,TA,TA,Y,7,2007,WD,Normal,259500
2,440,TA,TA,Y,6,2007,WD,Normal,176000
1,288,TA,TA,Y,9,2009,WD,Normal,139000
2,430,TA,TA,Y,4,2007,New,Partial,155000
3,594,TA,TA,Y,5,2010,WD,Normal,320000
2,390,TA,TA,Y,7,2006,New,Partial,163990
2,540,TA,TA,Y,10,2006,WD,Normal,180000
1,264,TA,TA,P,6,2007,WD,Normal,100000
1,288,TA,TA,Y,6,2008,WD,Normal,136000
2,530,TA,TA,Y,3,2008,WD,Normal,153900
2,435,TA,TA,Y,1,2009,WD,Normal,181000
2,440,TA,TA,Y,2,2007,WD,Normal,128000
2,453,TA,TA,Y,7,2006,WD,Normal,155000
2,750,TA,TA,Y,7,2006,WD,Abnorml,150000
2,487,TA,TA,Y,5,2006,WD,Normal,226000
2,390,TA,TA,Y,7,2009,WD,Normal,244000
2,624,TA,TA,Y,7,2007,WD,Normal,150750
2,471,TA,TA,Y,6,2009,WD,Normal,220000
2,440,TA,TA,Y,7,2006,WD,Normal,180000
2,530,TA,TA,Y,5,2008,WD,Normal,174000
1,318,TA,TA,Y,7,2007,WD,Normal,143000
3,766,TA,TA,Y,7,2006,WD,Family,171000
3,660,TA,TA,Y,12,2008,WD,Normal,230000
2,470,TA,TA,Y,8,2009,WD,Normal,231500
2,660,TA,TA,Y,1,2006,WD,Normal,260000
2,720,TA,TA,Y,6,2010,WD,Normal,166000
2,577,TA,TA,Y,6,2009,WD,Normal,204000
2,504,TA,TA,Y,11,2006,ConLI,Abnorml,125000
2,380,TA,TA,Y,4,2006,WD,Normal,130000
1,180,Fa,TA,Y,11,2009,WD,Normal,105000
2,434,TA,TA,Y,5,2010,WD,Normal,222500
1,240,Fa,TA,Y,4,2006,WD,Normal,115000
2,440,TA,TA,Y,1,2007,WD,Normal,122000
3,866,TA,TA,Y,1,2008,New,Partial,372402
2,495,TA,TA,Y,6,2006,WD,Normal,190000
2,564,TA,TA,Y,3,2008,WD,Normal,235000
1,312,Fa,Fa,Y,3,2006,WD,Family,125000
3,680,TA,TA,Y,5,2010,New,Partial,269500
2,678,TA,TA,Y,5,2010,WD,Normal,254900
2,576,TA,TA,Y,3,2006,New,Partial,320000
2,516,TA,TA,Y,6,2008,WD,Normal,162500
3,726,TA,TA,Y,3,2008,WD,Normal,412500
2,532,TA,TA,Y,5,2010,New,Partial,220000
1,216,TA,TA,Y,10,2007,WD,Normal,152000
1,303,TA,TA,Y,11,2009,COD,Normal,190000
3,789,TA,TA,Y,11,2007,New,Partial,325624
2,440,TA,TA,Y,5,2007,WD,Normal,183500
2,511,TA,TA,Y,1,2006,WD,Normal,228000
2,660,TA,TA,Y,5,2007,WD,Normal,128500
2,528,TA,TA,P,5,2010,WD,Normal,215000
2,504,Gd,TA,Y,6,2006,WD,Normal,239000
2,504,TA,TA,Y,6,2008,COD,Normal,163000
2,616,TA,TA,Y,11,2008,WD,Normal,184000
2,576,TA,TA,Y,6,2007,WD,Normal,243000
2,521,TA,TA,Y,9,2007,WD,Normal,211000
2,451,TA,TA,Y,7,2006,WD,Normal,172500
3,1166,TA,TA,Y,7,2009,New,Partial,501837
2,480,Fa,TA,N,7,2007,WD,Normal,100000
2,440,TA,TA,Y,6,2007,WD,Normal,177000
1,216,Fa,TA,Y,7,2006,WD,Normal,200100
2,484,TA,TA,N,6,2008,WD,Normal,200000
2,576,TA,TA,Y,6,2006,WD,Normal,127000
3,840,Ex,TA,Y,6,2006,WD,Normal,475000
2,497,TA,TA,Y,6,2009,WD,Normal,173000
1,180,Fa,Fa,N,8,2009,WD,Normal,135000
2,528,TA,TA,Y,6,2009,WD,Alloca,153337
2,682,TA,TA,Y,8,2008,WD,Normal,286000
2,440,TA,TA,Y,12,2007,WD,Normal,315000
2,484,TA,TA,Y,6,2007,WD,Normal,184000
2,666,TA,TA,Y,9,2009,WD,Normal,192000
2,380,TA,TA,Y,5,2006,WD,Normal,130000
1,352,TA,TA,Y,5,2008,WD,Normal,127000
2,440,TA,TA,Y,7,2009,WD,Normal,148500
3,786,TA,TA,Y,9,2007,New,Partial,311872
2,795,TA,TA,Y,3,2006,WD,Abnorml,235000
3,856,TA,TA,Y,1,2009,WD,Normal,274900
2,440,TA,TA,Y,3,2010,WD,Normal,140000
2,473,TA,TA,Y,2,2008,WD,Normal,171500
1,398,TA,TA,Y,5,2006,COD,Normal,112000
2,420,TA,TA,Y,1,2008,WD,Normal,149000
1,240,TA,TA,Y,4,2009,WD,Normal,110000
2,500,TA,TA,Y,5,2009,WD,Normal,180500
1,349,TA,TA,Y,3,2007,WD,Normal,143900
1,312,TA,TA,Y,4,2008,WD,Normal,141000
2,454,TA,TA,Y,4,2007,WD,Normal,277000
2,504,TA,Gd,Y,7,2008,WD,Normal,145000
2,460,TA,TA,Y,3,2010,WD,Normal,186000
2,644,TA,TA,Y,7,2009,New,Partial,252678
2,576,TA,TA,Y,7,2006,WD,Normal,156000
1,299,TA,TA,Y,3,2010,WD,Normal,161750
1,447,TA,TA,Y,5,2006,WD,Normal,134450
2,484,TA,TA,Y,4,2008,WD,Normal,210000
1,210,TA,TA,Y,9,2006,WD,Family,107000
2,431,TA,TA,Y,5,2008,WD,Normal,311500
2,438,TA,TA,Y,3,2006,New,Partial,167240
2,675,TA,TA,Y,4,2006,New,Partial,204900
2,390,TA,TA,Y,12,2009,ConLI,Normal,200000
2,434,TA,TA,Y,2,2006,WD,Normal,179900
2,576,TA,TA,Y,3,2009,WD,Abnorml,97000
3,968,TA,TA,Y,6,2009,WD,Normal,386250
1,280,TA,TA,Y,5,2009,COD,Abnorml,112000
3,721,TA,TA,Y,6,2007,WD,Abnorml,290000
1,280,TA,TA,Y,9,2008,WD,Normal,106000
1,336,TA,TA,Y,5,2010,WD,Normal,125000
2,430,TA,TA,Y,5,2009,WD,Normal,192500
1,312,TA,TA,Y,4,2010,WD,Normal,148000
3,810,TA,TA,Y,7,2009,WD,Normal,403000
1,288,TA,TA,Y,6,2006,WD,Normal,94500
1,308,TA,TA,Y,2,2010,WD,Normal,128200
1,264,TA,TA,Y,8,2008,WD,Normal,89500
2,494,TA,TA,Y,5,2010,WD,Normal,185500
2,457,TA,TA,Y,2,2010,WD,Normal,194500
3,818,TA,TA,Y,12,2007,New,Partial,318000
1,220,TA,TA,Y,4,2010,WD,Normal,113000
2,750,TA,TA,Y,4,2010,WD,Normal,262500
1,352,Fa,TA,Y,4,2006,WD,Normal,79000
1,288,TA,TA,Y,4,2009,WD,Normal,120000
2,463,TA,TA,Y,5,2010,WD,Normal,205000
2,604,TA,TA,Y,6,2006,WD,Normal,241500
1,440,Po,Po,Y,4,2006,WD,Normal,137000
2,451,TA,TA,Y,6,2006,WD,Normal,140000
2,500,TA,TA,Y,9,2007,WD,Normal,180000
2,389,TA,TA,Y,6,2007,WD,Normal,277000
2,538,TA,TA,Y,12,2007,WD,Family,235000
2,520,TA,TA,Y,12,2008,WD,Normal,173000
1,309,TA,TA,Y,10,2007,CWD,Normal,158000
1,294,TA,TA,Y,6,2010,WD,Normal,145000
2,429,TA,TA,Y,2,2006,WD,Normal,230000
2,673,TA,TA,Y,5,2008,WD,Normal,207500
2,660,TA,TA,Y,3,2009,WD,Abnorml,220000
2,564,TA,TA,Y,5,2008,WD,Normal,231500
2,884,TA,TA,Y,5,2009,WD,Normal,176000
3,868,TA,TA,Y,11,2007,New,Partial,276000
2,492,TA,TA,Y,7,2006,WD,Normal,151000
2,484,TA,TA,Y,4,2010,WD,Normal,130000
2,504,TA,TA,N,6,2008,WD,Normal,73000
2,576,TA,TA,Y,6,2008,WD,Normal,175500
2,413,TA,TA,Y,6,2006,WD,Normal,185000
1,240,TA,TA,Y,7,2008,WD,Normal,179500
1,924,Ex,Ex,Y,2,2008,WD,Normal,120500
1,504,TA,Gd,Y,5,2007,WD,Normal,148000
3,1053,TA,TA,Y,8,2006,New,Partial,266000
2,439,TA,TA,Y,4,2008,WD,Normal,241500
3,671,TA,TA,Y,4,2010,WD,Normal,290000
1,338,TA,TA,Y,4,2009,WD,Normal,139000
1,264,TA,TA,Y,6,2007,WD,Normal,124500
2,672,TA,TA,Y,10,2009,WD,Normal,205000
2,573,TA,TA,Y,4,2010,WD,Normal,201000
2,400,TA,TA,Y,6,2010,WD,Normal,141000
3,732,TA,TA,Y,5,2007,New,Partial,415298
2,505,TA,TA,Y,3,2008,WD,Normal,192000
2,575,TA,TA,Y,1,2007,WD,Normal,228500
2,572,TA,TA,Y,5,2006,New,Partial,185000
2,626,TA,TA,Y,4,2009,ConLw,Normal,207500
3,898,TA,TA,Y,12,2009,New,Partial,244600
2,529,TA,TA,Y,7,2007,WD,Normal,179200
2,528,TA,TA,Y,6,2007,New,Partial,164700
2,440,TA,TA,Y,6,2006,WD,Normal,159000
1,280,TA,TA,Y,2,2010,WD,Normal,122000
1,384,TA,TA,Y,7,2007,WD,Normal,153575
2,685,Gd,TA,Y,7,2006,New,Partial,233230
1,281,TA,TA,Y,1,2009,WD,Normal,131000
2,539,TA,TA,Y,3,2006,WD,Normal,235000
2,418,TA,TA,Y,10,2009,WD,Normal,167000
2,588,TA,TA,Y,3,2006,WD,Normal,142500
1,282,TA,TA,Y,6,2007,WD,Normal,152000
2,576,TA,TA,Y,6,2007,WD,Normal,239000
2,539,TA,TA,Y,6,2007,WD,Normal,175000
1,300,TA,TA,Y,8,2009,WD,Family,158500
1,375,TA,TA,Y,6,2006,WD,Normal,157000
2,683,TA,TA,Y,5,2007,WD,Normal,267000
3,843,TA,TA,Y,1,2006,WD,Normal,205000
2,552,TA,TA,Y,7,2006,WD,Abnorml,149900
3,870,TA,TA,Y,5,2008,WD,Normal,295000
3,888,TA,TA,Y,7,2007,WD,Normal,305900
3,746,TA,TA,Y,6,2007,WD,Normal,225000
2,539,TA,TA,Y,3,2009,WD,Normal,82500
3,708,TA,TA,Y,11,2006,WD,Normal,360000
2,420,TA,TA,Y,5,2006,WD,Normal,165600
1,240,TA,TA,Y,5,2009,WD,Normal,132000
2,410,TA,TA,Y,5,2006,WD,Normal,119900
2,513,TA,TA,Y,6,2009,WD,Normal,375000
2,546,Fa,TA,Y,8,2006,WD,Normal,178000
2,432,TA,TA,Y,7,2009,WD,Normal,188500
2,484,TA,TA,Y,8,2009,WD,Normal,260000
3,1025,TA,TA,Y,12,2007,WD,Normal,270000
3,656,TA,TA,Y,4,2009,WD,Normal,260000
2,588,TA,TA,Y,6,2009,WD,Normal,187500
3,840,TA,TA,Y,9,2006,New,Partial,342643
3,872,TA,TA,Y,6,2007,WD,Normal,354000
2,576,TA,TA,Y,8,2007,WD,Normal,301000
1,220,Fa,TA,Y,7,2006,WD,Normal,126175
2,564,TA,TA,Y,6,2010,WD,Normal,242000
2,360,TA,TA,Y,12,2007,WD,Normal,87000
2,473,TA,TA,Y,5,2008,Con,Normal,324000
1,292,TA,TA,Y,4,2006,WD,Normal,145250
2,441,TA,TA,Y,7,2009,WD,Normal,214500
1,189,Fa,Fa,N,7,2009,WD,Normal,78000
1,352,TA,TA,Y,11,2007,WD,Normal,119000
1,308,TA,TA,Y,8,2007,WD,Normal,139000
2,484,TA,TA,Y,7,2008,WD,Normal,207000
2,472,TA,TA,Y,7,2008,WD,Normal,192000
2,529,TA,TA,Y,8,2008,WD,Normal,228950
3,676,TA,TA,Y,7,2007,WD,Normal,377426
2,532,TA,TA,Y,12,2008,WD,Normal,214000
2,440,TA,TA,Y,5,2006,WD,Normal,202500
1,297,TA,TA,Y,6,2009,WD,Normal,155000
2,431,TA,TA,Y,4,2010,WD,Normal,202900
1,294,TA,TA,N,9,2009,WD,Normal,82000
2,564,TA,TA,Y,7,2008,WD,Normal,266000
1,336,TA,TA,Y,4,2010,WD,Normal,85000
1,312,TA,TA,Y,10,2006,WD,Normal,140200
1,301,TA,TA,Y,4,2007,WD,Normal,151500
2,498,TA,TA,Y,12,2009,WD,Normal,157500
2,474,TA,TA,Y,10,2008,WD,Normal,154000
3,706,TA,TA,Y,4,2006,New,Partial,437154
2,617,TA,TA,Y,12,2007,New,Partial,318061
2,445,TA,TA,Y,12,2006,WD,Abnorml,190000
1,200,TA,Fa,Y,3,2008,ConLw,Normal,95000
2,484,TA,TA,Y,5,2010,WD,Normal,105900
1,240,TA,TA,Y,6,2006,WD,Normal,140000
2,521,TA,TA,Y,8,2007,WD,Normal,177500
2,400,TA,TA,Y,7,2009,WD,Normal,173000
2,528,TA,TA,Y,8,2007,WD,Normal,134000
1,288,TA,TA,Y,7,2006,WD,Abnorml,130000
2,592,TA,TA,Y,6,2006,WD,Normal,280000
2,470,TA,TA,Y,6,2007,WD,Normal,156000
1,240,TA,TA,N,7,2008,WD,Normal,145000
1,264,TA,TA,Y,5,2009,WD,Normal,118000
2,566,TA,TA,Y,7,2006,WD,Normal,190000
1,468,TA,Fa,Y,7,2009,WD,Normal,147000
2,514,TA,TA,Y,7,2009,WD,Normal,159000
1,296,TA,TA,Y,12,2008,WD,Normal,165000
1,244,TA,TA,Y,3,2010,WD,Normal,132000
2,576,TA,TA,Y,3,2010,WD,Normal,162000
2,460,TA,TA,Y,1,2006,WD,Normal,172400
1,264,TA,TA,Y,2,2010,WD,Normal,125000
1,270,TA,TA,Y,11,2009,WD,Normal,123000
2,434,TA,TA,Y,7,2007,WD,Normal,219500
2,576,TA,TA,Y,7,2006,WD,Normal,148000
2,610,TA,TA,Y,12,2007,WD,Normal,340000
3,834,TA,TA,Y,6,2010,New,Partial,394432
2,463,TA,TA,Y,6,2009,WD,Normal,179000
1,308,TA,TA,Y,5,2010,WD,Normal,127000
2,572,TA,TA,Y,8,2006,New,Partial,187750
2,639,TA,TA,Y,4,2007,WD,Normal,213500
2,360,Fa,Fa,N,10,2009,WD,Normal,76000
2,501,TA,TA,Y,6,2007,WD,Normal,240000
2,430,TA,TA,Y,4,2010,WD,Normal,192000
1,352,TA,TA,Y,10,2009,WD,Abnorml,125000
2,577,TA,TA,Y,7,2008,WD,Normal,191000
3,846,TA,TA,Y,8,2008,New,Partial,426000
1,384,TA,TA,Y,4,2008,WD,Normal,119000
2,560,TA,TA,Y,6,2009,WD,Normal,215000
1,240,TA,TA,Y,7,2007,WD,Normal,109000
1,596,TA,TA,Y,6,2010,WD,Normal,129000
2,600,TA,TA,Y,9,2009,WD,Normal,123000
1,264,TA,TA,Y,7,2007,WD,Normal,169500
1,338,Po,Po,N,11,2007,WD,Abnorml,67000
2,438,TA,TA,Y,10,2009,WD,Normal,241000
2,500,TA,TA,Y,12,2008,WD,Normal,245500
2,400,TA,TA,Y,7,2006,New,Partial,164990
1,240,TA,TA,N,8,2008,WD,Normal,108000
2,420,TA,TA,Y,7,2006,WD,Abnorml,258000
2,373,TA,TA,Y,5,2007,WD,Normal,168000
2,490,TA,TA,Y,6,2009,WD,Normal,150000
1,240,TA,TA,Y,3,2008,WD,Normal,115000
1,308,TA,TA,Y,3,2008,WD,Normal,177000
3,947,TA,TA,Y,8,2007,New,Partial,280000
3,836,TA,TA,Y,4,2008,New,Partial,339750
1,350,TA,TA,Y,6,2009,COD,Abnorml,60000
2,572,TA,TA,Y,1,2006,WD,Normal,145000
2,484,TA,TA,Y,6,2010,New,Partial,222000
2,360,TA,TA,Y,3,2010,WD,Normal,115000
3,678,TA,TA,Y,12,2008,WD,Normal,228000
2,396,TA,TA,Y,8,2007,New,Partial,181134
2,440,TA,TA,Y,3,2006,WD,Normal,149500
3,864,TA,TA,N,11,2007,WD,Normal,239000
1,240,TA,TA,P,4,2007,WD,AdjLand,126000
1,304,TA,TA,Y,7,2010,WD,Normal,142000
4,784,TA,TA,Y,11,2008,WD,Alloca,206300
2,529,TA,TA,Y,6,2009,WD,Normal,215000
2,520,TA,TA,N,2,2008,WD,Normal,113000
3,696,TA,TA,Y,6,2008,WD,Normal,315000
1,297,TA,TA,Y,5,2008,WD,Normal,139000
1,240,TA,TA,P,9,2009,WD,Normal,135000
2,569,TA,TA,Y,8,2009,WD,Normal,275000
1,352,TA,TA,Y,7,2008,WD,Normal,109008
2,628,TA,TA,Y,9,2007,New,Partial,195400
2,576,TA,TA,Y,3,2009,WD,Normal,175000
1,264,TA,TA,Y,7,2008,COD,Abnorml,85400
2,440,TA,TA,Y,8,2007,WD,Normal,122500
2,470,TA,TA,Y,7,2008,WD,Normal,181000
2,550,TA,TA,Y,4,2009,ConLw,Normal,212000
2,440,TA,TA,Y,10,2006,WD,Normal,116000
1,180,TA,TA,Y,1,2009,WD,Normal,119000
1,352,Gd,TA,P,3,2007,WD,Normal,90350
2,528,TA,TA,Y,8,2009,ConLI,Normal,110000
3,672,TA,TA,Y,4,2009,WD,Normal,555000
2,360,TA,TA,P,6,2008,WD,Normal,162900
3,648,TA,TA,Y,6,2007,New,Partial,172500
2,493,TA,TA,Y,7,2008,WD,Normal,210000
2,480,TA,TA,Y,11,2009,COD,Normal,127500
2,578,TA,TA,Y,6,2010,WD,Normal,190000
2,431,TA,TA,Y,7,2006,WD,Normal,199900
1,198,TA,TA,N,6,2006,WD,Normal,119500
1,308,TA,TA,Y,6,2007,WD,Normal,120000
1,270,Fa,Fa,N,6,2006,WD,Normal,110000
2,576,TA,TA,Y,12,2006,WD,Normal,280000
2,422,TA,TA,Y,7,2007,WD,Normal,204000
2,676,TA,TA,Y,6,2009,WD,Normal,210000
2,560,TA,TA,Y,7,2006,WD,Family,188000
2,528,TA,TA,Y,9,2007,WD,Normal,175500
3,513,Fa,Fa,Y,5,2008,COD,Abnorml,98000
2,529,TA,TA,Y,3,2008,WD,Normal,256000
1,228,TA,TA,Y,6,2008,WD,Normal,161000
1,352,TA,TA,Y,7,2009,WD,Normal,110000
2,552,TA,TA,Y,12,2009,New,Partial,263435
2,576,TA,TA,Y,4,2009,WD,Normal,155000
1,360,TA,TA,Y,12,2009,WD,Normal,62383
1,240,TA,TA,Y,8,2008,WD,Normal,188700
2,398,TA,TA,Y,5,2006,WD,Normal,178740
2,526,TA,TA,Y,4,2007,WD,Normal,167000
1,312,TA,TA,Y,6,2007,WD,Normal,146500
3,866,TA,TA,Y,5,2007,WD,Normal,250000
2,506,TA,TA,Y,6,2008,WD,Normal,187000
2,528,TA,TA,Y,6,2010,WD,Normal,212000
2,534,TA,TA,Y,11,2007,WD,Normal,190000
2,525,TA,TA,Y,6,2008,WD,Normal,148000
3,908,TA,TA,Y,7,2007,New,Partial,440000
2,499,TA,TA,Y,8,2007,WD,Normal,251000
2,624,TA,TA,Y,7,2007,WD,Normal,132500
2,508,TA,TA,Y,4,2008,WD,Normal,208900
3,694,TA,TA,Y,3,2007,WD,Normal,380000
3,826,TA,TA,Y,9,2009,WD,Normal,297000
2,672,TA,TA,Y,3,2007,WD,Alloca,89471
3,772,TA,TA,Y,3,2006,WD,Normal,326000
3,874,TA,TA,Y,8,2006,WD,Normal,374000
1,164,Fa,Fa,Y,6,2009,WD,Normal,155000
2,402,TA,TA,Y,5,2006,WD,Normal,164000
